,d_spell,f_spell,champion,side,role,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
151,4,12,Vex,Side.red,Lane.mid_lane,11,6024,13270,6024,0,13603,23.0,12,16,30,153018,13694,188,2,17,True
152,4,3,Draven,Side.blue,Lane.bot_lane,7,5305,10908,5305,3,12315,5.0,8,13,9,119017,13897,176,2,17,True
153,4,11,Viego,Side.red,Lane.jungle,4,0,8401,0,5,9120,1.8,5,13,11,112328,20901,28,0,30,False
154,4,12,Kassadin,Side.red,Lane.mid_lane,1,2346,2926,2346,4,7919,0.5,1,12,16,78545,21148,181,0,8,False
155,12,4,Graves,Side.red,Lane.top_lane,1,3459,13613,3459,7,10859,0.2857142857142857,1,15,15,179140,21405,245,2,20,False
156,11,4,Kayn,Side.blue,Lane.jungle,4,946,30046,946,5,15326,3.2,12,18,36,229949,54399,58,1,40,False
157,4,12,TwistedFate,Side.red,Lane.mid_lane,5,0,434,0,5,10428,1.4,2,14,33,99151,17740,197,0,18,False
158,4,11,Viego,Side.blue,Lane.jungle,5,1956,23113,1956,8,9178,1.0,3,13,11,126468,37649,27,1,37,False
159,4,11,Viego,Side.blue,Lane.jungle,6,0,30584,0,7,11639,1.7142857142857142,6,15,12,161922,37092,48,0,22,False
160,4,14,Nautilus,Side.red,Lane.utility,24,934,1939,934,11,10294,2.3636363636363638,2,17,99,52744,27232,44,0,74,True
161,4,12,Jayce,Side.red,Lane.top_lane,1,651,9057,651,4,7898,0.5,1,13,3,112819,12782,177,0,13,False
162,14,4,Leona,Side.red,Lane.utility,18,715,2861,715,5,8372,3.8,1,14,53,23298,18331,40,1,72,True
163,4,14,Lux,Side.blue,Lane.utility,9,734,2170,734,15,7245,0.6666666666666666,1,10,48,28110,19197,19,0,57,False
164,7,4,Ezreal,Side.blue,Lane.bot_lane,11,2560,8004,2560,5,12141,3.0,4,15,0,144322,19634,199,2,14,True
165,4,14,Nautilus,Side.blue,Lane.utility,1,0,1139,0,7,4033,0.2857142857142857,1,8,17,13905,12419,25,0,21,False
166,11,6,Hecarim,Side.blue,Lane.jungle,2,0,3740,0,7,8353,1.1428571428571428,6,11,16,96512,30313,21,0,15,False
167,14,4,Pyke,Side.red,Lane.utility,13,1614,2913,1614,7,13496,2.7142857142857144,6,16,17,30162,26622,35,0,91,True
168,12,4,Jayce,Side.red,Lane.top_lane,4,3901,3901,3901,7,14809,1.2857142857142858,5,16,7,186267,20654,242,1,22,False
169,7,4,Ezreal,Side.blue,Lane.bot_lane,8,7365,21623,7365,1,15629,14.0,6,15,7,217777,20746,233,2,17,True
170,4,14,Nidalee,Side.red,Lane.mid_lane,8,3932,11799,3932,3,8895,3.3333333333333335,2,13,0,99229,16341,145,3,11,True
171,4,12,Akali,Side.red,Lane.mid_lane,2,0,266,0,5,11590,2.4,10,15,1,114061,23744,190,0,19,False
172,4,7,Caitlyn,Side.red,Lane.bot_lane,6,0,0,0,12,6843,0.6666666666666666,2,11,14,46239,18054,79,0,19,False
173,1,4,Caitlyn,Side.red,Lane.bot_lane,17,3303,16885,3303,9,19474,3.2222222222222223,12,18,19,293229,26815,284,2,42,False
174,11,4,Viego,Side.red,Lane.jungle,8,835,21650,835,4,11359,4.0,8,14,19,173482,30575,48,0,30,False
175,12,14,TahmKench,Side.red,Lane.top_lane,12,5538,8998,5538,5,13045,4.2,9,16,37,107320,42103,159,1,23,True
176,4,3,Karthus,Side.red,Lane.bot_lane,1,215,215,215,5,5787,0.6,2,10,7,55232,7012,115,0,3,False
177,4,14,Katarina,Side.blue,Lane.mid_lane,11,1029,1646,1029,5,12468,4.4,11,15,4,120836,22223,157,1,20,True
178,3,4,Karthus,Side.blue,Lane.mid_lane,14,145,16623,145,6,10676,3.1666666666666665,5,14,14,124651,14637,125,1,12,True
179,4,11,RekSai,Side.blue,Lane.jungle,1,0,6303,0,3,6073,1.6666666666666667,4,9,13,72943,12779,10,0,12,False
180,11,4,Qiyana,Side.red,Lane.jungle,11,491,16077,491,4,12792,5.0,9,15,23,174694,28202,46,0,22,True
181,4,11,Zed,Side.blue,Lane.jungle,11,1421,35191,1421,8,14106,2.125,6,17,8,233123,29519,39,0,31,True
182,4,12,Orianna,Side.red,Lane.mid_lane,8,3595,5520,3595,4,8369,2.25,1,13,13,90138,11903,146,1,15,True
183,4,7,Jhin,Side.blue,Lane.bot_lane,4,1833,8019,1833,6,13174,1.6666666666666667,6,15,17,170379,20277,196,0,17,False
184,4,14,Janna,Side.blue,Lane.utility,24,0,3647,0,5,9493,5.2,2,16,43,30938,17267,28,0,85,False
185,4,12,Akshan,Side.blue,Lane.top_lane,9,3723,8614,3723,9,12275,2.111111111111111,10,15,2,111381,27825,126,3,26,True
186,4,3,Lucian,Side.red,Lane.bot_lane,8,2936,11763,2936,3,7838,4.0,4,11,1,82350,10271,122,2,12,True
187,11,4,Kindred,Side.blue,Lane.jungle,8,898,35307,898,5,13987,4.0,12,15,9,201561,23916,42,1,39,False
188,4,12,Yone,Side.blue,Lane.top_lane,8,4764,8576,4764,3,10871,5.333333333333333,8,15,20,126658,16969,177,1,22,True
189,14,4,Jax,Side.red,Lane.top_lane,4,6151,11220,6151,2,10331,5.0,6,14,7,113854,14181,149,2,8,True
190,14,12,Rumble,Side.red,Lane.top_lane,10,2325,7427,2325,10,16470,1.9,9,18,20,232572,28114,261,1,26,False
191,12,4,Renekton,Side.red,Lane.top_lane,3,3022,4500,3022,6,8774,1.0,3,13,20,93588,29514,167,1,10,False
192,4,12,Fiora,Side.red,Lane.top_lane,7,16180,22008,16180,8,20031,3.25,19,18,20,210099,53049,196,4,32,True
193,4,12,Graves,Side.red,Lane.top_lane,10,5288,14834,5288,3,10012,4.666666666666667,4,12,9,106512,13239,144,3,12,True
194,4,11,Qiyana,Side.red,Lane.jungle,10,1309,49950,1309,7,16209,3.0,11,18,23,236106,35864,44,2,31,True
195,4,12,Fiora,Side.red,Lane.top_lane,0,0,822,0,5,4086,0.0,0,9,2,29174,13255,81,0,8,False
196,12,4,Leblanc,Side.red,Lane.mid_lane,4,1696,1777,1696,8,9575,0.875,3,14,15,90412,20729,166,0,20,False
197,4,3,Rakan,Side.blue,Lane.utility,18,0,394,0,5,9066,4.0,2,13,37,25444,16412,41,0,89,True
198,4,7,Jinx,Side.blue,Lane.bot_lane,0,3042,3042,3042,4,10719,1.75,7,12,7,119742,17080,199,1,18,False
199,4,3,Ezreal,Side.blue,Lane.bot_lane,19,11644,26551,11644,3,17799,11.0,14,17,17,210523,22803,208,5,13,True
200,1,4,Vayne,Side.red,Lane.bot_lane,2,3648,3648,3648,7,8866,0.7142857142857143,3,12,4,89061,17068,163,1,16,False
201,4,12,Gangplank,Side.blue,Lane.top_lane,10,3179,10108,3179,12,16849,1.1666666666666667,4,18,11,282726,28690,252,1,35,False
202,12,14,Camille,Side.red,Lane.top_lane,3,958,5470,958,12,11834,0.3333333333333333,1,17,19,192813,43680,241,0,18,False
203,11,4,Trundle,Side.red,Lane.jungle,6,0,3625,0,7,9113,1.5714285714285714,5,14,29,86342,36985,25,0,37,False
204,12,4,Syndra,Side.red,Lane.mid_lane,3,1483,1483,1483,6,10398,1.5,6,13,30,134761,15614,202,0,26,False
205,4,12,Viktor,Side.blue,Lane.mid_lane,10,7375,16546,7375,4,16771,4.75,9,18,24,225939,13445,236,5,27,True
206,4,3,Twitch,Side.red,Lane.bot_lane,10,10115,12762,10115,9,17293,2.7777777777777777,15,16,13,203682,23013,213,5,36,False
207,14,4,Rakan,Side.blue,Lane.utility,18,767,3422,767,10,9742,1.8,0,17,54,29656,35438,35,0,122,False
